comparison,baseline_mae,model_mae,improvement,ci_lower,ci_upper,p_value_bootstrap,p_value_ttest,significant
RF vs Mean Baseline,2.68385825552407,1.9641117443546638,0.7197465111694064,0.584034752375826,0.867923257142204,0.0,2.4756546238646693e-19,True
RF vs LOCF,2.68385825552407,1.9641117443546638,0.7197465111694064,0.584034752375826,0.867923257142204,0.0,2.4756546238646693e-19,True
