threshold,precision,recall,f1,accuracy,validation_type
0.01,0.37333333333333335,1.0,0.5436893203883495,0.4303030303030303,temporal
0.0198989898989899,0.3767123287671233,0.9821428571428571,0.5445544554455446,0.44242424242424244,temporal
0.029797979797979796,0.3669064748201439,0.9107142857142857,0.5230769230769231,0.43636363636363634,temporal
0.039696969696969696,0.33858267716535434,0.7678571428571429,0.46994535519125685,0.4121212121212121,temporal
0.049595959595959596,0.3360655737704918,0.7321428571428571,0.4606741573033708,0.41818181818181815,temporal
0.059494949494949496,0.3445378151260504,0.7321428571428571,0.4685714285714286,0.43636363636363634,temporal
0.06939393939393938,0.3565217391304348,0.7321428571428571,0.47953216374269003,0.46060606060606063,temporal
0.07929292929292929,0.35135135135135137,0.6964285714285714,0.46706586826347307,0.46060606060606063,temporal
0.08919191919191918,0.35514018691588783,0.6785714285714286,0.4662576687116564,0.4727272727272727,temporal
0.09909090909090908,0.3523809523809524,0.6607142857142857,0.45962732919254656,0.4727272727272727,temporal
0.10898989898989898,0.3557692307692308,0.6607142857142857,0.4625,0.47878787878787876,temporal
0.11888888888888888,0.3557692307692308,0.6607142857142857,0.4625,0.47878787878787876,temporal
0.12878787878787878,0.36,0.6428571428571429,0.46153846153846156,0.4909090909090909,temporal
0.1386868686868687,0.36363636363636365,0.6428571428571429,0.4645161290322581,0.49696969696969695,temporal
0.1485858585858586,0.36082474226804123,0.625,0.45751633986928103,0.49696969696969695,temporal
0.15848484848484848,0.35789473684210527,0.6071428571428571,0.4503311258278146,0.49696969696969695,temporal
0.16838383838383839,0.3516483516483517,0.5714285714285714,0.43537414965986393,0.49696969696969695,temporal
0.1782828282828283,0.3409090909090909,0.5357142857142857,0.4166666666666667,0.4909090909090909,temporal
0.18818181818181817,0.3411764705882353,0.5178571428571429,0.41134751773049644,0.49696969696969695,temporal
0.19808080808080808,0.3125,0.44642857142857145,0.36764705882352944,0.47878787878787876,temporal
0.207979797979798,0.3246753246753247,0.44642857142857145,0.37593984962406013,0.49696969696969695,temporal
0.21787878787878787,0.32894736842105265,0.44642857142857145,0.3787878787878788,0.503030303030303,temporal
0.22777777777777777,0.3333333333333333,0.44642857142857145,0.3816793893129771,0.509090909090909,temporal
0.23767676767676768,0.3287671232876712,0.42857142857142855,0.37209302325581395,0.509090909090909,temporal
0.24757575757575756,0.3333333333333333,0.42857142857142855,0.375,0.5151515151515151,temporal
0.25747474747474747,0.32857142857142857,0.4107142857142857,0.36507936507936506,0.5151515151515151,temporal
0.2673737373737374,0.3188405797101449,0.39285714285714285,0.352,0.509090909090909,temporal
0.2772727272727273,0.31343283582089554,0.375,0.34146341463414637,0.509090909090909,temporal
0.2871717171717172,0.30303030303030304,0.35714285714285715,0.32786885245901637,0.503030303030303,temporal
0.29707070707070704,0.30303030303030304,0.35714285714285715,0.32786885245901637,0.503030303030303,temporal
0.30696969696969695,0.3076923076923077,0.35714285714285715,0.3305785123966942,0.509090909090909,temporal
0.31686868686868686,0.3125,0.35714285714285715,0.3333333333333333,0.5151515151515151,temporal
0.32676767676767676,0.31746031746031744,0.35714285714285715,0.33613445378151263,0.5212121212121212,temporal
0.33666666666666667,0.31666666666666665,0.3392857142857143,0.3275862068965517,0.5272727272727272,temporal
0.3465656565656566,0.31666666666666665,0.3392857142857143,0.3275862068965517,0.5272727272727272,temporal
0.3564646464646465,0.2982456140350877,0.30357142857142855,0.3008849557522124,0.5212121212121212,temporal
0.36636363636363634,0.2982456140350877,0.30357142857142855,0.3008849557522124,0.5212121212121212,temporal
0.37626262626262624,0.2909090909090909,0.2857142857142857,0.2882882882882883,0.5212121212121212,temporal
0.38616161616161615,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.5272727272727272,temporal
0.39606060606060606,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.5272727272727272,temporal
0.40595959595959596,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.5272727272727272,temporal
0.41585858585858587,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.5272727272727272,temporal
0.4257575757575757,0.3018867924528302,0.2857142857142857,0.29357798165137616,0.5333333333333333,temporal
0.43565656565656563,0.3018867924528302,0.2857142857142857,0.29357798165137616,0.5333333333333333,temporal
0.44555555555555554,0.28846153846153844,0.26785714285714285,0.2777777777777778,0.5272727272727272,temporal
0.45545454545454545,0.29411764705882354,0.26785714285714285,0.2803738317757009,0.5333333333333333,temporal
0.46535353535353535,0.2653061224489796,0.23214285714285715,0.24761904761904763,0.5212121212121212,temporal
0.47525252525252526,0.2653061224489796,0.23214285714285715,0.24761904761904763,0.5212121212121212,temporal
0.4851515151515151,0.2765957446808511,0.23214285714285715,0.2524271844660194,0.5333333333333333,temporal
0.495050505050505,0.2765957446808511,0.23214285714285715,0.2524271844660194,0.5333333333333333,temporal
0.5049494949494949,0.2608695652173913,0.21428571428571427,0.23529411764705882,0.5272727272727272,temporal
0.5148484848484849,0.26666666666666666,0.21428571428571427,0.2376237623762376,0.5333333333333333,temporal
0.5247474747474747,0.2727272727272727,0.21428571428571427,0.24,0.5393939393939394,temporal
0.5346464646464646,0.2682926829268293,0.19642857142857142,0.2268041237113402,0.5454545454545454,temporal
0.5445454545454546,0.2682926829268293,0.19642857142857142,0.2268041237113402,0.5454545454545454,temporal
0.5544444444444444,0.2564102564102564,0.17857142857142858,0.21052631578947367,0.5454545454545454,temporal
0.5643434343434344,0.2631578947368421,0.17857142857142858,0.2127659574468085,0.5515151515151515,temporal
0.5742424242424242,0.2702702702702703,0.17857142857142858,0.21505376344086022,0.5575757575757576,temporal
