fold,mae,rmse,r2,n_train,n_test
1,1.981609802765026,2.4346939776902095,0.14333844293207854,1236,209
2,0.892232900137555,1.2118901411563914,0.5560813463228256,1073,372
3,1.5349393629960064,1.9886802228647005,-0.05017367131713368,1345,100
4,1.2310641806524578,1.5924491215139227,0.37881762701219845,1142,303
5,1.7225441293556614,1.9664023701020028,-0.13698549198725907,984,461
