threshold,precision,recall,f1,accuracy
0.01,0.5409836065573771,0.99,0.6996466431095406,0.5933014354066986
0.0198989898989899,0.5621301775147929,0.95,0.7063197026022305,0.6220095693779905
0.029797979797979796,0.5802469135802469,0.94,0.7175572519083969,0.645933014354067
0.039696969696969696,0.5897435897435898,0.92,0.71875,0.6555023923444976
0.049595959595959596,0.5918367346938775,0.87,0.7044534412955465,0.6507177033492823
0.059494949494949496,0.6142857142857143,0.86,0.7166666666666667,0.6746411483253588
0.06939393939393938,0.6102941176470589,0.83,0.7033898305084746,0.6650717703349283
0.07929292929292929,0.6106870229007634,0.8,0.6926406926406926,0.6602870813397129
0.08919191919191918,0.609375,0.78,0.6842105263157895,0.6555023923444976
0.09909090909090908,0.628099173553719,0.76,0.6877828054298643,0.6698564593301436
0.10898989898989898,0.635593220338983,0.75,0.6880733944954128,0.6746411483253588
0.11888888888888888,0.6428571428571429,0.72,0.6792452830188679,0.6746411483253588
0.12878787878787878,0.6355140186915887,0.68,0.6570048309178744,0.6602870813397129
0.1386868686868687,0.6476190476190476,0.68,0.6634146341463415,0.6698564593301436
0.1485858585858586,0.6568627450980392,0.67,0.6633663366336634,0.6746411483253588
0.15848484848484848,0.6565656565656566,0.65,0.6532663316582915,0.6698564593301436
0.16838383838383839,0.65625,0.63,0.6428571428571429,0.6650717703349283
0.1782828282828283,0.6774193548387096,0.63,0.6528497409326425,0.6794258373205742
0.18818181818181817,0.6590909090909091,0.58,0.6170212765957447,0.6555023923444976
0.19808080808080808,0.6904761904761905,0.58,0.6304347826086957,0.6746411483253588
0.207979797979798,0.6867469879518072,0.57,0.6229508196721312,0.6698564593301436
0.21787878787878787,0.6829268292682927,0.56,0.6153846153846154,0.6650717703349283
0.22777777777777777,0.675,0.54,0.6,0.6555023923444976
0.23767676767676768,0.6923076923076923,0.54,0.6067415730337079,0.6650717703349283
0.24757575757575756,0.6933333333333334,0.52,0.5942857142857143,0.6602870813397129
0.25747474747474747,0.6933333333333334,0.52,0.5942857142857143,0.6602870813397129
0.2673737373737374,0.684931506849315,0.5,0.5780346820809249,0.6507177033492823
0.2772727272727273,0.676056338028169,0.48,0.5614035087719298,0.6411483253588517
0.2871717171717172,0.6666666666666666,0.46,0.5443786982248521,0.631578947368421
0.29707070707070704,0.65625,0.42,0.5121951219512195,0.6172248803827751
0.30696969696969695,0.6507936507936508,0.41,0.5030674846625767,0.6124401913875598
0.31686868686868686,0.6333333333333333,0.38,0.475,0.5980861244019139
0.32676767676767676,0.6379310344827587,0.37,0.46835443037974683,0.5980861244019139
0.33666666666666667,0.6363636363636364,0.35,0.45161290322580644,0.5933014354066986
0.3465656565656566,0.6226415094339622,0.33,0.43137254901960786,0.583732057416268
0.3564646464646465,0.6226415094339622,0.33,0.43137254901960786,0.583732057416268
0.36636363636363634,0.6346153846153846,0.33,0.4342105263157895,0.5885167464114832
0.37626262626262624,0.64,0.32,0.4266666666666667,0.5885167464114832
0.38616161616161615,0.6458333333333334,0.31,0.4189189189189189,0.5885167464114832
0.39606060606060606,0.6666666666666666,0.3,0.41379310344827586,0.5933014354066986
0.40595959595959596,0.6666666666666666,0.3,0.41379310344827586,0.5933014354066986
0.41585858585858587,0.6666666666666666,0.3,0.41379310344827586,0.5933014354066986
0.4257575757575757,0.6744186046511628,0.29,0.40559440559440557,0.5933014354066986
0.43565656565656563,0.6744186046511628,0.29,0.40559440559440557,0.5933014354066986
0.44555555555555554,0.6744186046511628,0.29,0.40559440559440557,0.5933014354066986
0.45545454545454545,0.6666666666666666,0.28,0.39436619718309857,0.5885167464114832
0.46535353535353535,0.6585365853658537,0.27,0.3829787234042553,0.583732057416268
0.47525252525252526,0.6410256410256411,0.25,0.3597122302158273,0.5741626794258373
0.4851515151515151,0.631578947368421,0.24,0.34782608695652173,0.569377990430622
0.495050505050505,0.6486486486486487,0.24,0.35036496350364965,0.5741626794258373
0.5049494949494949,0.6486486486486487,0.24,0.35036496350364965,0.5741626794258373
0.5148484848484849,0.6486486486486487,0.24,0.35036496350364965,0.5741626794258373
0.5247474747474747,0.6571428571428571,0.23,0.34074074074074073,0.5741626794258373
0.5346464646464646,0.6451612903225806,0.2,0.3053435114503817,0.5645933014354066
0.5445454545454546,0.6206896551724138,0.18,0.27906976744186046,0.5550239234449761
0.5544444444444444,0.6071428571428571,0.17,0.265625,0.5502392344497608
0.5643434343434344,0.6296296296296297,0.17,0.2677165354330709,0.5550239234449761
0.5742424242424242,0.6153846153846154,0.16,0.25396825396825395,0.5502392344497608
0.5841414141414141,0.6153846153846154,0.16,0.25396825396825395,0.5502392344497608
0.594040404040404,0.6153846153846154,0.16,0.25396825396825395,0.5502392344497608
0.6039393939393939,0.6153846153846154,0.16,0.25396825396825395,0.5502392344497608
0.6138383838383838,0.6666666666666666,0.16,0.25806451612903225,0.5598086124401914
0.6237373737373737,0.6666666666666666,0.16,0.25806451612903225,0.5598086124401914
0.6336363636363637,0.6666666666666666,0.16,0.25806451612903225,0.5598086124401914
0.6435353535353535,0.6666666666666666,0.16,0.25806451612903225,0.5598086124401914
0.6534343434343434,0.7619047619047619,0.16,0.2644628099173554,0.5741626794258373
0.6633333333333333,0.75,0.15,0.25,0.569377990430622
0.6732323232323232,0.7368421052631579,0.14,0.23529411764705882,0.5645933014354066
0.6831313131313131,0.7333333333333333,0.11,0.19130434782608696,0.5550239234449761
0.693030303030303,0.8461538461538461,0.11,0.19469026548672566,0.5645933014354066
0.702929292929293,0.8461538461538461,0.11,0.19469026548672566,0.5645933014354066
