subgroup_type,group,precision,recall,f1,accuracy,n_episodes,n_users
engagement,medium,0.30303030303030304,0.5555555555555556,0.39215686274509803,0.6352941176470588,85,4
engagement,sparse,0.8125,0.8125,0.8125,0.7,20,4
engagement,high,0.63,0.9545454545454546,0.7590361445783133,0.6153846153846154,104,1
severity,high_severity,0.6746031746031746,0.8762886597938144,0.7623318385650224,0.624113475177305,141,6
severity,medium_severity,0.14285714285714285,0.5,0.2222222222222222,0.46153846153846156,13,1
severity,low_severity,0.0,0.0,0.0,0.6909090909090909,55,2
diversity,many_types,0.55,0.8555555555555555,0.6695652173913044,0.6180904522613065,199,7
diversity,few_types,,,,,10,2
